sep=;
Series;Time;Value
admiring_poitras;2017-03-08T06:32:39.000Z;null
admiring_poitras;2017-03-08T06:32:49.000Z;1204224
admiring_poitras;2017-03-08T06:32:59.000Z;58486784
admiring_poitras;2017-03-08T06:33:09.000Z;72962048
admiring_poitras;2017-03-08T06:33:19.000Z;129196032
admiring_poitras;2017-03-08T06:33:29.000Z;128892928
admiring_poitras;2017-03-08T06:33:39.000Z;128708608
admiring_poitras;2017-03-08T06:33:49.000Z;128671744
admiring_poitras;2017-03-08T06:33:59.000Z;129384448
admiring_poitras;2017-03-08T06:34:09.000Z;129212416
admiring_poitras;2017-03-08T06:34:19.000Z;129208320
admiring_poitras;2017-03-08T06:34:29.000Z;129208320
admiring_poitras;2017-03-08T06:34:39.000Z;128712704
admiring_poitras;2017-03-08T06:34:49.000Z;128643072
admiring_poitras;2017-03-08T06:34:59.000Z;164438016
admiring_poitras;2017-03-08T06:35:09.000Z;164057088
admiring_poitras;2017-03-08T06:35:19.000Z;164061184
admiring_poitras;2017-03-08T06:35:29.000Z;163938304
admiring_poitras;2017-03-08T06:35:39.000Z;164196352
admiring_poitras;2017-03-08T06:35:49.000Z;164204544
admiring_poitras;2017-03-08T06:35:59.000Z;164220928
admiring_poitras;2017-03-08T06:36:09.000Z;164225024
admiring_poitras;2017-03-08T06:36:19.000Z;164126720
admiring_poitras;2017-03-08T06:36:29.000Z;164126720
admiring_poitras;2017-03-08T06:36:39.000Z;164122624
admiring_poitras;2017-03-08T06:36:49.000Z;164122624
admiring_poitras;2017-03-08T06:36:59.000Z;164122624
admiring_poitras;2017-03-08T06:37:09.000Z;164122624
admiring_poitras;2017-03-08T06:37:19.000Z;164122624
admiring_poitras;2017-03-08T06:37:29.000Z;164122624
admiring_poitras;2017-03-08T06:37:39.000Z;164122624
admiring_poitras;2017-03-08T06:37:49.000Z;164253696
admiring_poitras;2017-03-08T06:37:59.000Z;164253696
admiring_poitras;2017-03-08T06:38:09.000Z;164253696
admiring_poitras;2017-03-08T06:38:19.000Z;164249600
admiring_poitras;2017-03-08T06:38:29.000Z;164249600
admiring_poitras;2017-03-08T06:38:39.000Z;164122624
admiring_poitras;2017-03-08T06:38:49.000Z;164122624
admiring_poitras;2017-03-08T06:38:59.000Z;164122624
admiring_poitras;2017-03-08T06:39:09.000Z;164122624
admiring_poitras;2017-03-08T06:39:19.000Z;164122624
admiring_poitras;2017-03-08T06:39:29.000Z;164253696
admiring_poitras;2017-03-08T06:39:39.000Z;164126720
admiring_poitras;2017-03-08T06:39:49.000Z;164126720
admiring_poitras;2017-03-08T06:39:59.000Z;164122624
admiring_poitras;2017-03-08T06:40:09.000Z;164122624
admiring_poitras;2017-03-08T06:40:19.000Z;164122624
admiring_poitras;2017-03-08T06:40:29.000Z;164122624
admiring_poitras;2017-03-08T06:40:39.000Z;164122624
admiring_poitras;2017-03-08T06:40:49.000Z;164122624
admiring_poitras;2017-03-08T06:40:59.000Z;164122624
admiring_poitras;2017-03-08T06:41:09.000Z;164122624
admiring_poitras;2017-03-08T06:41:19.000Z;164122624
admiring_poitras;2017-03-08T06:41:29.000Z;164122624
admiring_poitras;2017-03-08T06:41:39.000Z;164122624
admiring_poitras;2017-03-08T06:41:49.000Z;164126720
admiring_poitras;2017-03-08T06:41:59.000Z;167657472
admiring_poitras;2017-03-08T06:42:09.000Z;167657472
admiring_poitras;2017-03-08T06:42:19.000Z;167653376
admiring_poitras;2017-03-08T06:42:29.000Z;167653376
admiring_poitras;2017-03-08T06:42:39.000Z;167587840
admiring_poitras;2017-03-08T06:42:49.000Z;167587840
admiring_poitras;2017-03-08T06:42:59.000Z;167587840
admiring_poitras;2017-03-08T06:43:09.000Z;167587840
admiring_poitras;2017-03-08T06:43:19.000Z;167718912
admiring_poitras;2017-03-08T06:43:29.000Z;167718912
admiring_poitras;2017-03-08T06:43:39.000Z;167591936
admiring_poitras;2017-03-08T06:43:49.000Z;167591936
admiring_poitras;2017-03-08T06:43:59.000Z;167587840
admiring_poitras;2017-03-08T06:44:09.000Z;167587840
admiring_poitras;2017-03-08T06:44:19.000Z;167587840
admiring_poitras;2017-03-08T06:44:29.000Z;167587840
admiring_poitras;2017-03-08T06:44:39.000Z;167587840
admiring_poitras;2017-03-08T06:44:49.000Z;167587840
admiring_poitras;2017-03-08T06:44:59.000Z;167587840
admiring_poitras;2017-03-08T06:45:09.000Z;167587840
admiring_poitras;2017-03-08T06:45:19.000Z;167587840
admiring_poitras;2017-03-08T06:45:29.000Z;167718912
admiring_poitras;2017-03-08T06:45:39.000Z;167591936
admiring_poitras;2017-03-08T06:45:49.000Z;167591936
admiring_poitras;2017-03-08T06:45:59.000Z;167587840
admiring_poitras;2017-03-08T06:46:09.000Z;167587840
