sep=;
Series;Time;Value
name;2017-03-07T03:58:36.000Z;1.4623010193181871
name;2017-03-07T03:58:46.000Z;1.540396899318181
name;2017-03-07T03:58:56.000Z;1.5280774375000037
name;2017-03-07T03:59:06.000Z;1.5041664263636365
name;2017-03-07T03:59:16.000Z;1.4758885222727285
name;2017-03-07T03:59:26.000Z;1.4950036815909074
name;2017-03-07T03:59:36.000Z;1.4823778331818176
name;2017-03-07T03:59:46.000Z;1.4484220056818187
name;2017-03-07T03:59:56.000Z;1.4470596475000006
name;2017-03-07T04:00:06.000Z;1.3977272756818182
name;2017-03-07T04:00:16.000Z;1.3476427559090873
name;2017-03-07T04:00:26.000Z;1.2654260813636375
name;2017-03-07T04:00:36.000Z;1.2681575338636362
name;2017-03-07T04:00:46.000Z;1.2565588745454523
name;2017-03-07T04:00:56.000Z;1.2562438993181826
name;2017-03-07T04:01:06.000Z;1.2531790352272718
name;2017-03-07T04:01:16.000Z;1.2649084650000006
name;2017-03-07T04:01:26.000Z;1.2489337736363637
name;2017-03-07T04:01:36.000Z;1.2468491597727247
name;2017-03-07T04:01:46.000Z;1.2372007677272723
name;2017-03-07T04:01:56.000Z;1.2348380806818164
name;2017-03-07T04:02:06.000Z;1.2532495788636397
name;2017-03-07T04:02:16.000Z;9.476747315894286
name;2017-03-07T04:02:26.000Z;28.280871840934218
name;2017-03-07T04:02:36.000Z;45.61393888143014
name;2017-03-07T04:02:46.000Z;62.02848366787924
name;2017-03-07T04:02:56.000Z;77.57182293502719
name;2017-03-07T04:03:06.000Z;93.04520801380957
name;2017-03-07T04:03:16.000Z;98.05899785636362
name;2017-03-07T04:03:26.000Z;98.49207368090907
name;2017-03-07T04:03:36.000Z;98.39789574431819
name;2017-03-07T04:03:46.000Z;100.53181954409094
name;2017-03-07T04:03:56.000Z;100.97669946909092
name;2017-03-07T04:04:06.000Z;100.33014133181817
name;2017-03-07T04:04:16.000Z;98.70725656386362
name;2017-03-07T04:04:26.000Z;101.50383558272729
name;2017-03-07T04:04:36.000Z;100.64410478204545
name;2017-03-07T04:04:46.000Z;99.35680818931814
name;2017-03-07T04:04:56.000Z;97.87624477727272
name;2017-03-07T04:05:06.000Z;100.02211713045452
name;2017-03-07T04:05:16.000Z;98.72209882159089
name;2017-03-07T04:05:26.000Z;101.21125683249998
name;2017-03-07T04:05:36.000Z;99.82147842318177
name;2017-03-07T04:05:46.000Z;100.48143710181816
name;2017-03-07T04:05:56.000Z;101.05238660136364
name;2017-03-07T04:06:06.000Z;99.82898209568182
name;2017-03-07T04:06:16.000Z;99.99613518863636
name;2017-03-07T04:06:26.000Z;99.69531666636364
name;2017-03-07T04:06:36.000Z;97.48341315500001
name;2017-03-07T04:06:46.000Z;101.6627194159091
name;2017-03-07T04:06:56.000Z;100.08445656409096
name;2017-03-07T04:07:06.000Z;99.52600307772724
name;2017-03-07T04:07:16.000Z;99.81347383795459
name;2017-03-07T04:07:26.000Z;100.4413172693181
name;2017-03-07T04:07:36.000Z;100.84712706340908
name;2017-03-07T04:07:46.000Z;100.08693339727273
name;2017-03-07T04:07:56.000Z;100.56189350271829
name;2017-03-07T04:08:06.000Z;100.90724785204547
name;2017-03-07T04:08:16.000Z;98.55652113772723
name;2017-03-07T04:08:26.000Z;98.27166685863637
name;2017-03-07T04:08:36.000Z;100.01415957727271
name;2017-03-07T04:08:46.000Z;98.02870176863637
name;2017-03-07T04:08:56.000Z;99.21253719205102
name;2017-03-07T04:09:06.000Z;100.36347649590907
name;2017-03-07T04:09:16.000Z;100.03671601431819
name;2017-03-07T04:09:26.000Z;98.01408235772723
name;2017-03-07T04:09:36.000Z;97.12867309931816
name;2017-03-07T04:09:46.000Z;100.138239465
name;2017-03-07T04:09:56.000Z;99.50199241409094
name;2017-03-07T04:10:06.000Z;98.75418860454548
name;2017-03-07T04:10:16.000Z;99.89846628409089
name;2017-03-07T04:10:26.000Z;101.09732229749999
name;2017-03-07T04:10:36.000Z;99.03477666613638
name;2017-03-07T04:10:46.000Z;100.11347467545453
name;2017-03-07T04:10:56.000Z;96.8712501029545
name;2017-03-07T04:11:06.000Z;97.47741140454548
name;2017-03-07T04:11:16.000Z;98.64784519909092
name;2017-03-07T04:11:26.000Z;99.23796067642995
name;2017-03-07T04:11:36.000Z;99.38840455340912
name;2017-03-07T04:11:46.000Z;99.24849672318183
name;2017-03-07T04:11:56.000Z;99.36444734727264
name;2017-03-07T04:12:06.000Z;99.47617067022728
name;2017-03-07T04:12:16.000Z;97.6730563584091
name;2017-03-07T04:12:26.000Z;99.24827800369094
name;2017-03-07T04:12:36.000Z;102.24715319318179
name;2017-03-07T04:12:46.000Z;97.67490630499593
name;2017-03-07T04:12:56.000Z;99.91392015749994
name;2017-03-07T04:13:06.000Z;100.9968831490909
name;2017-03-07T04:13:16.000Z;103.05460857613629
name;2017-03-07T04:13:26.000Z;101.18658515468748
name;2017-03-07T04:13:36.000Z;99.21855846749997
name;2017-03-07T04:13:46.000Z;98.82364983318179
name;2017-03-07T04:13:56.000Z;101.21359566409087
name;2017-03-07T04:14:06.000Z;100.0114694622727
name;2017-03-07T04:14:16.000Z;101.91541016704547
name;2017-03-07T04:14:26.000Z;99.69250283295456
name;2017-03-07T04:14:36.000Z;98.22524575409092
name;2017-03-07T04:14:46.000Z;99.86931822431825
name;2017-03-07T04:14:56.000Z;99.41504544886362
name;2017-03-07T04:15:06.000Z;99.45963393386364
name;2017-03-07T04:15:16.000Z;97.37646954931819
name;2017-03-07T04:15:26.000Z;97.21998800636366
name;2017-03-07T04:15:36.000Z;97.32943521863645
name;2017-03-07T04:15:46.000Z;100.77832544613639
name;2017-03-07T04:15:56.000Z;99.86420017159094
name;2017-03-07T04:16:06.000Z;100.01700875454544
name;2017-03-07T04:16:16.000Z;100.2371293243182
name;2017-03-07T04:16:26.000Z;102.27484057909426
name;2017-03-07T04:16:36.000Z;99.21962262568186
name;2017-03-07T04:16:46.000Z;99.91570286659089
name;2017-03-07T04:16:56.000Z;100.04604627295457
name;2017-03-07T04:17:06.000Z;101.15183528068181
name;2017-03-07T04:17:16.000Z;98.53687952528996
name;2017-03-07T04:17:26.000Z;97.19495210909093
name;2017-03-07T04:17:36.000Z;101.54960334590906
name;2017-03-07T04:17:46.000Z;101.13586715272727
name;2017-03-07T04:17:56.000Z;101.96355071981198
name;2017-03-07T04:18:06.000Z;98.50297782749999
name;2017-03-07T04:18:16.000Z;101.95182868227268
name;2017-03-07T04:18:26.000Z;100.60487591547114
name;2017-03-07T04:18:36.000Z;99.76869342204547
name;2017-03-07T04:18:46.000Z;99.11289578802874
name;2017-03-07T04:18:56.000Z;100.90706792204548
name;2017-03-07T04:19:06.000Z;100.96634832181819
name;2017-03-07T04:19:16.000Z;99.8427300045454
name;2017-03-07T04:19:26.000Z;99.36740393227277
name;2017-03-07T04:19:36.000Z;99.26491406178975
name;2017-03-07T04:19:46.000Z;100.49038196904259
