sep=;
Series;Time;Value
admiring_poitras;2017-03-08T06:59:26.000Z;137318400
admiring_poitras;2017-03-08T06:59:36.000Z;137318400
admiring_poitras;2017-03-08T06:59:46.000Z;137453568
admiring_poitras;2017-03-08T06:59:56.000Z;136884224
admiring_poitras;2017-03-08T07:00:06.000Z;136753152
admiring_poitras;2017-03-08T07:00:16.000Z;136749056
admiring_poitras;2017-03-08T07:00:26.000Z;136749056
admiring_poitras;2017-03-08T07:00:36.000Z;136749056
admiring_poitras;2017-03-08T07:00:46.000Z;137498624
admiring_poitras;2017-03-08T07:00:56.000Z;137064448
admiring_poitras;2017-03-08T07:01:06.000Z;163954688
admiring_poitras;2017-03-08T07:01:16.000Z;171130880
admiring_poitras;2017-03-08T07:01:26.000Z;171253760
admiring_poitras;2017-03-08T07:01:36.000Z;171134976
admiring_poitras;2017-03-08T07:01:46.000Z;171110400
admiring_poitras;2017-03-08T07:01:56.000Z;171241472
admiring_poitras;2017-03-08T07:02:06.000Z;171241472
admiring_poitras;2017-03-08T07:02:16.000Z;171372544
admiring_poitras;2017-03-08T07:02:26.000Z;171372544
admiring_poitras;2017-03-08T07:02:36.000Z;171298816
admiring_poitras;2017-03-08T07:02:46.000Z;171298816
admiring_poitras;2017-03-08T07:02:56.000Z;171429888
admiring_poitras;2017-03-08T07:03:06.000Z;171315200
admiring_poitras;2017-03-08T07:03:16.000Z;171315200
admiring_poitras;2017-03-08T07:03:26.000Z;171315200
admiring_poitras;2017-03-08T07:03:36.000Z;171188224
admiring_poitras;2017-03-08T07:03:46.000Z;171188224
admiring_poitras;2017-03-08T07:03:56.000Z;171319296
admiring_poitras;2017-03-08T07:04:06.000Z;171192320
admiring_poitras;2017-03-08T07:04:16.000Z;171192320
admiring_poitras;2017-03-08T07:04:26.000Z;171192320
admiring_poitras;2017-03-08T07:04:36.000Z;171188224
admiring_poitras;2017-03-08T07:04:46.000Z;171188224
admiring_poitras;2017-03-08T07:04:56.000Z;171188224
admiring_poitras;2017-03-08T07:05:06.000Z;171319296
admiring_poitras;2017-03-08T07:05:16.000Z;171319296
admiring_poitras;2017-03-08T07:05:26.000Z;171319296
admiring_poitras;2017-03-08T07:05:36.000Z;171192320
admiring_poitras;2017-03-08T07:05:46.000Z;171188224
admiring_poitras;2017-03-08T07:05:56.000Z;171188224
admiring_poitras;2017-03-08T07:06:06.000Z;171188224
admiring_poitras;2017-03-08T07:06:16.000Z;171188224
admiring_poitras;2017-03-08T07:06:26.000Z;171188224
admiring_poitras;2017-03-08T07:06:36.000Z;171188224
admiring_poitras;2017-03-08T07:06:46.000Z;171188224
admiring_poitras;2017-03-08T07:06:56.000Z;171319296
admiring_poitras;2017-03-08T07:07:06.000Z;171319296
admiring_poitras;2017-03-08T07:07:16.000Z;171192320
admiring_poitras;2017-03-08T07:07:26.000Z;171188224
