sep=;
Series;Time;Value
alertmanager;2017-03-07T02:17:04.000Z;6123520
alertmanager;2017-03-07T02:17:14.000Z;6123520
alertmanager;2017-03-07T02:17:24.000Z;6123520
alertmanager;2017-03-07T02:17:34.000Z;6123520
alertmanager;2017-03-07T02:17:44.000Z;6090752
alertmanager;2017-03-07T02:17:54.000Z;6090752
alertmanager;2017-03-07T02:18:04.000Z;6090752
alertmanager;2017-03-07T02:18:14.000Z;6090752
alertmanager;2017-03-07T02:18:24.000Z;6090752
alertmanager;2017-03-07T02:18:34.000Z;6090752
alertmanager;2017-03-07T02:18:44.000Z;6090752
alertmanager;2017-03-07T02:18:54.000Z;6090752
alertmanager;2017-03-07T02:19:04.000Z;6090752
alertmanager;2017-03-07T02:19:14.000Z;6123520
alertmanager;2017-03-07T02:19:24.000Z;6123520
alertmanager;2017-03-07T02:19:34.000Z;6254592
alertmanager;2017-03-07T02:19:44.000Z;6250496
alertmanager;2017-03-07T02:19:54.000Z;6393856
alertmanager;2017-03-07T02:20:04.000Z;6402048
alertmanager;2017-03-07T02:20:14.000Z;6402048
alertmanager;2017-03-07T02:20:24.000Z;6402048
alertmanager;2017-03-07T02:20:34.000Z;6402048
alertmanager;2017-03-07T02:20:44.000Z;6402048
alertmanager;2017-03-07T02:20:54.000Z;6402048
alertmanager;2017-03-07T02:21:04.000Z;6418432
alertmanager;2017-03-07T02:21:14.000Z;6418432
alertmanager;2017-03-07T02:21:24.000Z;6426624
alertmanager;2017-03-07T02:21:34.000Z;6426624
alertmanager;2017-03-07T02:21:44.000Z;6434816
alertmanager;2017-03-07T02:21:54.000Z;6451200
alertmanager;2017-03-07T02:22:04.000Z;6582272
alertmanager;2017-03-07T02:22:14.000Z;6471680
alertmanager;2017-03-07T02:22:24.000Z;6475776
alertmanager;2017-03-07T02:22:34.000Z;6602752
alertmanager;2017-03-07T02:22:44.000Z;6602752
alertmanager;2017-03-07T02:22:54.000Z;6594560
alertmanager;2017-03-07T02:23:04.000Z;6467584
alertmanager;2017-03-07T02:23:14.000Z;6467584
alertmanager;2017-03-07T02:23:24.000Z;6725632
alertmanager;2017-03-07T02:23:34.000Z;6725632
alertmanager;2017-03-07T02:23:44.000Z;6598656
alertmanager;2017-03-07T02:23:54.000Z;6471680
alertmanager;2017-03-07T02:24:04.000Z;6471680
alertmanager;2017-03-07T02:24:14.000Z;6471680
alertmanager;2017-03-07T02:24:24.000Z;6471680
alertmanager;2017-03-07T02:24:34.000Z;6471680
alertmanager;2017-03-07T02:24:44.000Z;6471680
alertmanager;2017-03-07T02:24:54.000Z;6471680
alertmanager;2017-03-07T02:25:04.000Z;6471680
alertmanager;2017-03-07T02:25:14.000Z;6471680
alertmanager;2017-03-07T02:25:24.000Z;6475776
alertmanager;2017-03-07T02:25:34.000Z;6606848
alertmanager;2017-03-07T02:25:44.000Z;6475776
alertmanager;2017-03-07T02:25:54.000Z;6475776
alertmanager;2017-03-07T02:26:04.000Z;6475776
alertmanager;2017-03-07T02:26:14.000Z;6602752
alertmanager;2017-03-07T02:26:24.000Z;6475776
alertmanager;2017-03-07T02:26:34.000Z;6475776
alertmanager;2017-03-07T02:26:44.000Z;6606848
alertmanager;2017-03-07T02:26:54.000Z;6475776
alertmanager;2017-03-07T02:27:04.000Z;6606848
alertmanager;2017-03-07T02:27:14.000Z;6602752
alertmanager;2017-03-07T02:27:24.000Z;6475776
alertmanager;2017-03-07T02:27:34.000Z;6606848
alertmanager;2017-03-07T02:27:44.000Z;6606848
alertmanager;2017-03-07T02:27:54.000Z;6598656
alertmanager;2017-03-07T02:28:04.000Z;6598656
alertmanager;2017-03-07T02:28:14.000Z;6598656
alertmanager;2017-03-07T02:28:24.000Z;6598656
alertmanager;2017-03-07T02:28:34.000Z;6598656
alertmanager;2017-03-07T02:28:44.000Z;6606848
alertmanager;2017-03-07T02:28:54.000Z;6606848
alertmanager;2017-03-07T02:29:04.000Z;6602752
alertmanager;2017-03-07T02:29:14.000Z;6475776
alertmanager;2017-03-07T02:29:24.000Z;6475776
alertmanager;2017-03-07T02:29:34.000Z;6475776
alertmanager;2017-03-07T02:29:44.000Z;6475776
alertmanager;2017-03-07T02:29:54.000Z;6475776
