sep=;
Series;Time;Value
alertmanager;2017-03-07T00:37:29.000Z;5971968
alertmanager;2017-03-07T00:37:39.000Z;5971968
alertmanager;2017-03-07T00:37:49.000Z;5992448
alertmanager;2017-03-07T00:37:59.000Z;5992448
alertmanager;2017-03-07T00:38:09.000Z;5992448
alertmanager;2017-03-07T00:38:19.000Z;6000640
alertmanager;2017-03-07T00:38:29.000Z;6000640
alertmanager;2017-03-07T00:38:39.000Z;6000640
alertmanager;2017-03-07T00:38:49.000Z;6008832
alertmanager;2017-03-07T00:38:59.000Z;6008832
alertmanager;2017-03-07T00:39:09.000Z;6008832
alertmanager;2017-03-07T00:39:19.000Z;6004736
alertmanager;2017-03-07T00:39:29.000Z;6004736
alertmanager;2017-03-07T00:39:39.000Z;6004736
alertmanager;2017-03-07T00:39:49.000Z;6008832
alertmanager;2017-03-07T00:39:59.000Z;6008832
alertmanager;2017-03-07T00:40:09.000Z;6025216
alertmanager;2017-03-07T00:40:19.000Z;6021120
alertmanager;2017-03-07T00:40:29.000Z;6021120
alertmanager;2017-03-07T00:40:39.000Z;6017024
alertmanager;2017-03-07T00:40:49.000Z;6021120
alertmanager;2017-03-07T00:40:59.000Z;6017024
alertmanager;2017-03-07T00:41:09.000Z;6017024
alertmanager;2017-03-07T00:41:19.000Z;6021120
alertmanager;2017-03-07T00:41:29.000Z;6017024
alertmanager;2017-03-07T00:41:39.000Z;6021120
alertmanager;2017-03-07T00:41:49.000Z;6021120
alertmanager;2017-03-07T00:41:59.000Z;6021120
alertmanager;2017-03-07T00:42:09.000Z;6021120
alertmanager;2017-03-07T00:42:19.000Z;6021120
alertmanager;2017-03-07T00:42:29.000Z;6021120
alertmanager;2017-03-07T00:42:39.000Z;6021120
alertmanager;2017-03-07T00:42:49.000Z;6021120
alertmanager;2017-03-07T00:42:59.000Z;6025216
alertmanager;2017-03-07T00:43:09.000Z;6025216
alertmanager;2017-03-07T00:43:19.000Z;6025216
alertmanager;2017-03-07T00:43:29.000Z;6029312
alertmanager;2017-03-07T00:43:39.000Z;6029312
alertmanager;2017-03-07T00:43:49.000Z;6037504
alertmanager;2017-03-07T00:43:59.000Z;6037504
alertmanager;2017-03-07T00:44:09.000Z;6037504
alertmanager;2017-03-07T00:44:19.000Z;6037504
alertmanager;2017-03-07T00:44:29.000Z;6037504
alertmanager;2017-03-07T00:44:39.000Z;6037504
alertmanager;2017-03-07T00:44:49.000Z;6033408
alertmanager;2017-03-07T00:44:59.000Z;6033408
alertmanager;2017-03-07T00:45:09.000Z;6029312
alertmanager;2017-03-07T00:45:19.000Z;6033408
alertmanager;2017-03-07T00:45:29.000Z;6033408
alertmanager;2017-03-07T00:45:39.000Z;6033408
alertmanager;2017-03-07T00:45:49.000Z;6033408
alertmanager;2017-03-07T00:45:59.000Z;6029312
alertmanager;2017-03-07T00:46:09.000Z;6033408
alertmanager;2017-03-07T00:46:19.000Z;6033408
alertmanager;2017-03-07T00:46:29.000Z;6033408
alertmanager;2017-03-07T00:46:39.000Z;6033408
alertmanager;2017-03-07T00:46:49.000Z;6033408
alertmanager;2017-03-07T00:46:59.000Z;6033408
alertmanager;2017-03-07T00:47:09.000Z;6033408
alertmanager;2017-03-07T00:47:19.000Z;6037504
alertmanager;2017-03-07T00:47:29.000Z;6037504
alertmanager;2017-03-07T00:47:39.000Z;6037504
alertmanager;2017-03-07T00:47:49.000Z;6037504
alertmanager;2017-03-07T00:47:59.000Z;6037504
alertmanager;2017-03-07T00:48:09.000Z;6041600
alertmanager;2017-03-07T00:48:19.000Z;6037504
alertmanager;2017-03-07T00:48:29.000Z;6037504
alertmanager;2017-03-07T00:48:39.000Z;6037504
alertmanager;2017-03-07T00:48:49.000Z;5971968
alertmanager;2017-03-07T00:48:59.000Z;5971968
alertmanager;2017-03-07T00:49:09.000Z;5967872
alertmanager;2017-03-07T00:49:19.000Z;5967872
alertmanager;2017-03-07T00:49:29.000Z;5967872
alertmanager;2017-03-07T00:49:39.000Z;5967872
alertmanager;2017-03-07T00:49:49.000Z;5967872
alertmanager;2017-03-07T00:49:59.000Z;5967872
alertmanager;2017-03-07T00:50:09.000Z;5967872
alertmanager;2017-03-07T00:50:19.000Z;5967872
alertmanager;2017-03-07T00:50:29.000Z;5967872
alertmanager;2017-03-07T00:50:39.000Z;5967872
alertmanager;2017-03-07T00:50:49.000Z;5971968
alertmanager;2017-03-07T00:50:59.000Z;5971968
alertmanager;2017-03-07T00:51:09.000Z;5967872
alertmanager;2017-03-07T00:51:19.000Z;5967872
alertmanager;2017-03-07T00:51:29.000Z;5967872
alertmanager;2017-03-07T00:51:39.000Z;5976064
