sep=;
Series;Time;Value
alertmanager;2017-03-07T04:48:01.000Z;6291456
alertmanager;2017-03-07T04:48:11.000Z;6291456
alertmanager;2017-03-07T04:48:21.000Z;6291456
alertmanager;2017-03-07T04:48:31.000Z;6291456
alertmanager;2017-03-07T04:48:41.000Z;6291456
alertmanager;2017-03-07T04:48:51.000Z;6291456
alertmanager;2017-03-07T04:49:01.000Z;6291456
alertmanager;2017-03-07T04:49:11.000Z;6291456
alertmanager;2017-03-07T04:49:21.000Z;6291456
alertmanager;2017-03-07T04:49:31.000Z;6291456
alertmanager;2017-03-07T04:49:41.000Z;6291456
alertmanager;2017-03-07T04:49:51.000Z;6291456
alertmanager;2017-03-07T04:50:01.000Z;6291456
alertmanager;2017-03-07T04:50:11.000Z;6422528
alertmanager;2017-03-07T04:50:21.000Z;6418432
alertmanager;2017-03-07T04:50:31.000Z;6422528
alertmanager;2017-03-07T04:50:41.000Z;6696960
alertmanager;2017-03-07T04:50:51.000Z;6606848
alertmanager;2017-03-07T04:51:01.000Z;6615040
alertmanager;2017-03-07T04:51:11.000Z;6615040
alertmanager;2017-03-07T04:51:21.000Z;6803456
alertmanager;2017-03-07T04:51:31.000Z;6709248
alertmanager;2017-03-07T04:51:41.000Z;6709248
alertmanager;2017-03-07T04:51:51.000Z;6709248
alertmanager;2017-03-07T04:52:01.000Z;6717440
alertmanager;2017-03-07T04:52:11.000Z;6717440
alertmanager;2017-03-07T04:52:21.000Z;6717440
alertmanager;2017-03-07T04:52:31.000Z;6717440
alertmanager;2017-03-07T04:52:41.000Z;6721536
alertmanager;2017-03-07T04:52:51.000Z;6721536
alertmanager;2017-03-07T04:53:01.000Z;6721536
alertmanager;2017-03-07T04:53:11.000Z;6721536
alertmanager;2017-03-07T04:53:21.000Z;6721536
alertmanager;2017-03-07T04:53:31.000Z;6721536
alertmanager;2017-03-07T04:53:41.000Z;6721536
alertmanager;2017-03-07T04:53:51.000Z;6717440
alertmanager;2017-03-07T04:54:01.000Z;6721536
alertmanager;2017-03-07T04:54:11.000Z;6721536
alertmanager;2017-03-07T04:54:21.000Z;6721536
alertmanager;2017-03-07T04:54:31.000Z;6848512
alertmanager;2017-03-07T04:54:41.000Z;6713344
alertmanager;2017-03-07T04:54:51.000Z;6713344
alertmanager;2017-03-07T04:55:01.000Z;6713344
alertmanager;2017-03-07T04:55:11.000Z;6717440
alertmanager;2017-03-07T04:55:21.000Z;6717440
alertmanager;2017-03-07T04:55:31.000Z;6717440
alertmanager;2017-03-07T04:55:41.000Z;6844416
alertmanager;2017-03-07T04:55:51.000Z;6721536
alertmanager;2017-03-07T04:56:01.000Z;6721536
alertmanager;2017-03-07T04:56:11.000Z;6725632
alertmanager;2017-03-07T04:56:21.000Z;6721536
alertmanager;2017-03-07T04:56:31.000Z;6852608
alertmanager;2017-03-07T04:56:41.000Z;6852608
alertmanager;2017-03-07T04:56:51.000Z;6725632
alertmanager;2017-03-07T04:57:01.000Z;6725632
alertmanager;2017-03-07T04:57:11.000Z;6729728
alertmanager;2017-03-07T04:57:21.000Z;6733824
alertmanager;2017-03-07T04:57:31.000Z;6733824
alertmanager;2017-03-07T04:57:41.000Z;6733824
alertmanager;2017-03-07T04:57:51.000Z;6733824
alertmanager;2017-03-07T04:58:01.000Z;6729728
alertmanager;2017-03-07T04:58:11.000Z;6725632
alertmanager;2017-03-07T04:58:21.000Z;6725632
alertmanager;2017-03-07T04:58:31.000Z;6852608
alertmanager;2017-03-07T04:58:41.000Z;6729728
alertmanager;2017-03-07T04:58:51.000Z;6729728
alertmanager;2017-03-07T04:59:01.000Z;6729728
alertmanager;2017-03-07T04:59:11.000Z;6725632
alertmanager;2017-03-07T04:59:21.000Z;6725632
alertmanager;2017-03-07T04:59:31.000Z;6725632
alertmanager;2017-03-07T04:59:41.000Z;6725632
alertmanager;2017-03-07T04:59:51.000Z;6721536
alertmanager;2017-03-07T05:00:01.000Z;6721536
alertmanager;2017-03-07T05:00:11.000Z;6852608
alertmanager;2017-03-07T05:00:21.000Z;6852608
alertmanager;2017-03-07T05:00:31.000Z;6852608
alertmanager;2017-03-07T05:00:41.000Z;6721536
