sep=;
Series;Time;Value
affectionate_darwin;2017-03-07T03:58:36.000Z;69074944
affectionate_darwin;2017-03-07T03:58:46.000Z;69074944
affectionate_darwin;2017-03-07T03:58:56.000Z;69074944
affectionate_darwin;2017-03-07T03:59:06.000Z;69074944
affectionate_darwin;2017-03-07T03:59:16.000Z;69074944
affectionate_darwin;2017-03-07T03:59:26.000Z;69074944
affectionate_darwin;2017-03-07T03:59:36.000Z;69058560
affectionate_darwin;2017-03-07T03:59:46.000Z;69058560
affectionate_darwin;2017-03-07T03:59:56.000Z;69058560
affectionate_darwin;2017-03-07T04:00:06.000Z;69058560
affectionate_darwin;2017-03-07T04:00:16.000Z;69058560
affectionate_darwin;2017-03-07T04:00:26.000Z;69058560
affectionate_darwin;2017-03-07T04:00:36.000Z;69058560
affectionate_darwin;2017-03-07T04:00:46.000Z;69058560
affectionate_darwin;2017-03-07T04:00:56.000Z;69058560
affectionate_darwin;2017-03-07T04:01:06.000Z;69058560
affectionate_darwin;2017-03-07T04:01:16.000Z;69058560
affectionate_darwin;2017-03-07T04:01:26.000Z;69058560
affectionate_darwin;2017-03-07T04:01:36.000Z;69058560
affectionate_darwin;2017-03-07T04:01:46.000Z;69058560
affectionate_darwin;2017-03-07T04:01:56.000Z;69058560
affectionate_darwin;2017-03-07T04:02:06.000Z;69058560
affectionate_darwin;2017-03-07T04:02:16.000Z;673976320
affectionate_darwin;2017-03-07T04:02:26.000Z;673460224
affectionate_darwin;2017-03-07T04:02:36.000Z;673271808
affectionate_darwin;2017-03-07T04:02:46.000Z;673058816
affectionate_darwin;2017-03-07T04:02:56.000Z;672993280
affectionate_darwin;2017-03-07T04:03:06.000Z;672980992
affectionate_darwin;2017-03-07T04:03:16.000Z;672960512
affectionate_darwin;2017-03-07T04:03:26.000Z;672956416
affectionate_darwin;2017-03-07T04:03:36.000Z;672956416
affectionate_darwin;2017-03-07T04:03:46.000Z;672956416
affectionate_darwin;2017-03-07T04:03:56.000Z;672956416
affectionate_darwin;2017-03-07T04:04:06.000Z;672940032
affectionate_darwin;2017-03-07T04:04:16.000Z;672940032
affectionate_darwin;2017-03-07T04:04:26.000Z;672940032
affectionate_darwin;2017-03-07T04:04:36.000Z;672940032
affectionate_darwin;2017-03-07T04:04:46.000Z;672940032
affectionate_darwin;2017-03-07T04:04:56.000Z;672940032
affectionate_darwin;2017-03-07T04:05:06.000Z;672940032
affectionate_darwin;2017-03-07T04:05:16.000Z;672940032
affectionate_darwin;2017-03-07T04:05:26.000Z;672940032
affectionate_darwin;2017-03-07T04:05:36.000Z;672940032
affectionate_darwin;2017-03-07T04:05:46.000Z;672940032
affectionate_darwin;2017-03-07T04:05:56.000Z;672940032
affectionate_darwin;2017-03-07T04:06:06.000Z;672940032
affectionate_darwin;2017-03-07T04:06:16.000Z;672940032
affectionate_darwin;2017-03-07T04:06:26.000Z;672940032
affectionate_darwin;2017-03-07T04:06:36.000Z;672940032
affectionate_darwin;2017-03-07T04:06:46.000Z;672940032
affectionate_darwin;2017-03-07T04:06:56.000Z;672940032
affectionate_darwin;2017-03-07T04:07:06.000Z;672940032
affectionate_darwin;2017-03-07T04:07:16.000Z;672940032
affectionate_darwin;2017-03-07T04:07:26.000Z;672940032
affectionate_darwin;2017-03-07T04:07:36.000Z;672940032
affectionate_darwin;2017-03-07T04:07:46.000Z;672940032
affectionate_darwin;2017-03-07T04:07:56.000Z;672940032
affectionate_darwin;2017-03-07T04:08:06.000Z;672940032
affectionate_darwin;2017-03-07T04:08:16.000Z;672940032
affectionate_darwin;2017-03-07T04:08:26.000Z;672940032
affectionate_darwin;2017-03-07T04:08:36.000Z;672940032
affectionate_darwin;2017-03-07T04:08:46.000Z;672940032
affectionate_darwin;2017-03-07T04:08:56.000Z;672940032
affectionate_darwin;2017-03-07T04:09:06.000Z;672940032
affectionate_darwin;2017-03-07T04:09:16.000Z;672940032
affectionate_darwin;2017-03-07T04:09:26.000Z;672940032
affectionate_darwin;2017-03-07T04:09:36.000Z;672940032
affectionate_darwin;2017-03-07T04:09:46.000Z;672940032
affectionate_darwin;2017-03-07T04:09:56.000Z;672940032
affectionate_darwin;2017-03-07T04:10:06.000Z;672940032
affectionate_darwin;2017-03-07T04:10:16.000Z;672940032
affectionate_darwin;2017-03-07T04:10:26.000Z;672940032
affectionate_darwin;2017-03-07T04:10:36.000Z;672940032
affectionate_darwin;2017-03-07T04:10:46.000Z;672940032
affectionate_darwin;2017-03-07T04:10:56.000Z;672940032
affectionate_darwin;2017-03-07T04:11:06.000Z;672940032
affectionate_darwin;2017-03-07T04:11:16.000Z;672940032
affectionate_darwin;2017-03-07T04:11:26.000Z;672940032
affectionate_darwin;2017-03-07T04:11:36.000Z;672940032
affectionate_darwin;2017-03-07T04:11:46.000Z;672940032
affectionate_darwin;2017-03-07T04:11:56.000Z;672940032
affectionate_darwin;2017-03-07T04:12:06.000Z;672940032
affectionate_darwin;2017-03-07T04:12:16.000Z;672940032
affectionate_darwin;2017-03-07T04:12:26.000Z;672940032
affectionate_darwin;2017-03-07T04:12:36.000Z;672940032
affectionate_darwin;2017-03-07T04:12:46.000Z;672940032
affectionate_darwin;2017-03-07T04:12:56.000Z;672940032
affectionate_darwin;2017-03-07T04:13:06.000Z;672940032
affectionate_darwin;2017-03-07T04:13:16.000Z;672940032
affectionate_darwin;2017-03-07T04:13:26.000Z;672940032
affectionate_darwin;2017-03-07T04:13:36.000Z;672940032
affectionate_darwin;2017-03-07T04:13:46.000Z;672940032
affectionate_darwin;2017-03-07T04:13:56.000Z;672940032
affectionate_darwin;2017-03-07T04:14:06.000Z;672940032
affectionate_darwin;2017-03-07T04:14:16.000Z;672940032
affectionate_darwin;2017-03-07T04:14:26.000Z;672940032
affectionate_darwin;2017-03-07T04:14:36.000Z;672940032
affectionate_darwin;2017-03-07T04:14:46.000Z;672940032
affectionate_darwin;2017-03-07T04:14:56.000Z;672940032
affectionate_darwin;2017-03-07T04:15:06.000Z;672940032
affectionate_darwin;2017-03-07T04:15:16.000Z;672940032
affectionate_darwin;2017-03-07T04:15:26.000Z;672940032
affectionate_darwin;2017-03-07T04:15:36.000Z;672940032
affectionate_darwin;2017-03-07T04:15:46.000Z;672940032
