11934,18,,,,,,,,,,,,,,,,
"Lever_position","ship_speed","gt_torque","gt_revs","gg_revs","star_prop_torque","port_prop_torque","hp_exit_temp","gt_in_airT","gt_out_airT","HP_exit_pres","GT_in_pres","GT_out_pres","gas_exhaust_pres","turb_injec","fuel_flow","GT_compre_coef","GT_turb_coef"
1.138,3,289.96,1349.5,6677.4,7.584,7.584,464.01,288,550.56,1.096,0.998,5.947,1.019,7.137,0.082,0.95,0.975
2.088,6,6960.2,1376.2,6828.5,28.204,28.204,635.4,288,581.66,1.331,0.998,7.282,1.019,10.655,0.287,0.95,0.975
3.144,9,8379.2,1386.8,7111.8,60.358,60.358,606,288,587.59,1.389,0.998,7.574,1.02,13.086,0.259,0.95,0.975
4.161,12,14724,1547.5,7792.6,113.77,113.77,661.47,288,613.85,1.658,0.998,9.007,1.022,18.109,0.358,0.95,0.975
5.14,15,21636,1924.3,8494.8,175.31,175.31,731.49,288,645.64,2.078,0.998,11.197,1.026,26.373,0.522,0.95,0.975
6.175,18,29793,2307.4,8828.4,246.28,246.28,800.43,288,676.4,2.501,0.998,13.356,1.03,35.76,0.708,0.95,0.975
7.148,21,38982,2678.1,9132.4,332.08,332.08,854.75,288,699.95,2.963,0.998,15.679,1.035,45.881,0.908,0.95,0.975
8.206,24,50997,3087.6,9318.6,437.99,437.99,952.12,288,741.77,3.576,0.998,18.632,1.04,62.44,1.236,0.95,0.975
9.3,27,72763,3560.4,9778.5,644.9,644.9,1115.8,288,789.09,4.498,0.998,22.811,1.049,92.556,1.832,0.95,0.975
1.138,3,379.88,1355.4,6683.9,7.915,7.915,464.02,288,550.99,1.1,0.998,5.963,1.019,3.879,0.079,0.95,0.976
2.088,6,6969.2,1371.9,6828.4,27.424,27.424,635.96,288,581.44,1.33,0.998,7.272,1.019,12.785,0.289,0.95,0.976
3.144,9,8379.3,1386.8,7114.4,60.353,60.353,605.17,288,587.44,1.389,0.998,7.567,1.02,13.052,0.258,0.95,0.976
4.161,12,14725,1547.5,7794.6,113.8,113.8,660.57,288,613.69,1.657,0.998,8.998,1.022,18.066,0.358,0.95,0.976
5.14,15,21637,1924.3,8495.7,175.31,175.31,730.5,288,645.46,2.078,0.998,11.185,1.026,26.316,0.521,0.95,0.976
6.175,18,29793,2307.4,8829.4,246.29,246.29,799.3,288,676.17,2.501,0.998,13.342,1.03,35.687,0.707,0.95,0.976
7.148,21,38982,2678.1,9132.9,332.21,332.21,853.7,288,699.78,2.963,0.998,15.661,1.035,45.799,0.907,0.95,0.976
8.206,24,50997,3087.6,9318.9,438.1,438.1,951.07,288,741.61,3.575,0.998,18.611,1.04,62.342,1.234,0.95,0.976
9.3,27,72764,3560.4,9779.3,644.96,644.96,1114.9,288,788.95,4.496,0.998,22.784,1.049,92.448,1.83,0.95,0.976
1.138,3,753.02,1371.9,6697.8,8.858,8.858,473.67,288,553.14,1.117,0.998,6.047,1.019,0,0.088,0.95,0.977
2.088,6,6961.7,1371.1,6830.4,27.259,27.259,635.13,288,581.24,1.33,0.998,7.262,1.019,13.192,0.289,0.95,0.977
3.144,9,8379.5,1386.8,7117,60.356,60.356,604.34,288,587.29,1.389,0.998,7.559,1.02,13.018,0.258,0.95,0.977
4.161,12,14725,1547.5,7796.7,113.8,113.8,659.67,288,613.52,1.657,0.998,8.989,1.022,18.023,0.357,0.95,0.977
5.14,15,21637,1924.3,8496.6,175.28,175.28,729.5,288,645.27,2.078,0.998,11.174,1.026,26.26,0.52,0.95,0.977
6.175,18,29793,2307.4,8830.4,246.22,246.22,798.17,288,675.94,2.501,0.998,13.328,1.03,35.613,0.705,0.95,0.977
7.148,21,38981,2678.1,9133.4,332.11,332.11,852.66,288,699.6,2.962,0.998,15.644,1.035,45.717,0.905,0.95,0.977
8.206,24,50998,3087.6,9319.3,438.13,438.13,950.03,288,741.44,3.574,0.998,18.589,1.041,62.245,1.232,0.95,0.977
9.3,27,72765,3560.4,9780.1,645.08,645.08,1114,288,788.81,4.495,0.998,22.756,1.049,92.342,1.828,0.95,0.977
1.138,3,1341.7,1391.6,6714.1,10.018,10.018,490.66,288,556.62,1.142,0.998,6.185,1.019,0,0.107,0.95,0.978
2.088,6,6895.3,1366.8,6830.3,26.481,26.481,633.65,288,580.76,1.326,0.998,7.239,1.019,15.319,0.289,0.95,0.978
3.144,9,8379.5,1386.8,7119.6,60.351,60.351,603.51,288,587.14,1.389,0.998,7.552,1.02,12.983,0.257,0.95,0.978
4.161,12,14725,1547.5,7798.7,113.8,113.8,658.77,288,613.36,1.657,0.998,8.98,1.022,17.98,0.356,0.95,0.978
5.14,15,21637,1924.3,8497.5,175.3,175.3,728.5,288,645.09,2.078,0.998,11.162,1.026,26.203,0.519,0.95,0.978
6.175,18,29794,2307.4,8831.5,246.29,246.29,797.04,288,675.72,2.5,0.998,13.315,1.03,35.54,0.704,0.95,0.978
7.148,21,38981,2678.1,9133.9,332.2,332.2,851.62,288,699.43,2.961,0.998,15.627,1.035,45.636,0.904,0.95,0.978
8.206,24,50998,3087.6,9319.7,438.05,438.05,948.98,288,741.28,3.574,0.998,18.568,1.041,62.148,1.23,0.95,0.978
9.3,27,72765,3560.4,9780.9,645.04,645.04,1113.1,288,788.66,4.494,0.998,22.729,1.049,92.235,1.826,0.95,0.978
1.138,3,1836.1,1403.7,6725.1,10.747,10.747,505.15,288,559.3,1.163,0.998,6.293,1.019,0,0.124,0.95,0.979
2.088,6,6846.1,1364.3,6831.3,26.018,26.018,632.16,288,580.39,1.324,0.998,7.222,1.019,16.581,0.288,0.95,0.979
3.144,9,8379.6,1386.8,7122.2,60.358,60.358,602.68,288,586.99,1.388,0.998,7.544,1.02,12.949,0.256,0.95,0.979
4.161,12,14725,1547.5,7800.7,113.79,113.79,657.87,288,613.2,1.657,0.998,8.971,1.022,17.937,0.355,0.95,0.979
5.14,15,21637,1924.3,8498.4,175.28,175.28,727.51,288,644.9,2.077,0.998,11.151,1.026,26.147,0.518,0.95,0.979
6.175,18,29794,2307.4,8832.5,246.25,246.25,795.91,288,675.49,2.5,0.998,13.301,1.03,35.467,0.702,0.95,0.979
7.148,21,38981,2678.1,9134.4,332.15,332.15,850.58,288,699.26,2.961,0.998,15.61,1.035,45.555,0.902,0.95,0.979
8.206,24,50998,3087.6,9320,438,438,947.94,288,741.11,3.573,0.998,18.547,1.041,62.051,1.228,0.95,0.979
9.3,27,72767,3560.4,9781.7,644.88,644.88,1112.2,288,788.52,4.493,0.998,22.701,1.049,92.129,1.824,0.95,0.979
1.138,3,2208.2,1410.1,6732.2,11.143,11.143,515.97,288,561.21,1.178,0.998,6.372,1.019,0,0.136,0.95,0.98
2.088,6,6838.6,1364.8,6834.2,26.113,26.113,630.9,288,580.22,1.324,0.998,7.214,1.019,16.216,0.287,0.95,0.98
3.144,9,8379.7,1386.8,7124.8,60.361,60.361,601.86,288,586.84,1.388,0.998,7.537,1.02,12.915,0.256,0.95,0.98
4.161,12,14725,1547.5,7802.7,113.8,113.8,656.97,288,613.03,1.656,0.998,8.962,1.022,17.894,0.354,0.95,0.98
5.14,15,21637,1924.3,8499.3,175.33,175.33,726.52,288,644.72,2.077,0.998,11.139,1.026,26.09,0.516,0.95,0.98
6.175,18,29794,2307.3,8833.5,246.24,246.24,794.79,288,675.27,2.5,0.998,13.287,1.03,35.393,0.701,0.95,0.98
7.148,21,38980,2678.1,9134.9,332.19,332.19,849.54,288,699.08,2.96,0.998,15.592,1.035,45.473,0.9,0.95,0.98
8.206,24,50998,3087.6,9320.4,438,438,946.91,288,740.95,3.572,0.998,18.525,1.041,61.954,1.226,0.95,0.98
9.3,27,72767,3560.4,9782.4,644.84,644.84,1111.3,288,788.38,4.492,0.998,22.674,1.049,92.023,1.822,0.95,0.98
1.138,3,2951.9,1417.2,6740.1,11.583,11.583,538.32,288,564.94,1.207,0.998,6.528,1.019,0,0.162,0.95,0.981
2.088,6,6804.1,1363.8,6836.1,25.915,25.915,629.37,288,579.93,1.323,0.998,7.2,1.019,16.701,0.286,0.95,0.981
3.144,9,8379.8,1386.8,7127.3,60.364,60.364,601.03,288,586.69,1.388,0.998,7.53,1.02,12.881,0.255,0.95,0.981
4.161,12,14725,1547.5,7804.7,113.8,113.8,656.08,288,612.87,1.656,0.998,8.953,1.022,17.852,0.353,0.95,0.981
5.14,15,21638,1924.3,8500.3,175.34,175.34,725.53,288,644.54,2.077,0.998,11.128,1.026,26.034,0.515,0.95,0.981
6.175,18,29795,2307.3,8834.6,246.32,246.32,793.67,288,675.04,2.499,0.998,13.273,1.03,35.321,0.699,0.95,0.981
7.148,21,38980,2678.1,9135.4,332.06,332.06,848.51,288,698.91,2.96,0.998,15.575,1.035,45.392,0.899,0.95,0.981
8.206,24,50998,3087.6,9320.8,438.05,438.05,945.87,288,740.79,3.571,0.998,18.504,1.041,61.857,1.225,0.95,0.981
9.3,27,72768,3560.4,9783.2,644.8,644.8,1110.4,288,788.24,4.49,0.998,22.647,1.049,91.917,1.82,0.95,0.981
1.138,3,3774.8,1418.9,6744.4,11.699,11.699,562.54,288,568.68,1.236,0.998,6.688,1.019,0,0.191,0.95,0.982
2.088,6,6606.7,1358.9,6835.6,25.032,25.032,624.6,288,578.98,1.316,0.998,7.155,1.019,18.868,0.282,0.95,0.982
3.144,9,8379.9,1386.8,7129.9,60.365,60.365,600.21,288,586.54,1.388,0.998,7.522,1.02,12.847,0.254,0.95,0.982
4.161,12,14725,1547.5,7806.7,113.79,113.79,655.19,288,612.71,1.656,0.998,8.943,1.022,17.809,0.353,0.95,0.982
5.14,15,21638,1924.3,8501.2,175.29,175.29,724.55,288,644.35,2.076,0.998,11.116,1.026,25.977,0.514,0.95,0.982
6.175,18,29795,2307.3,8835.6,246.25,246.25,792.56,288,674.82,2.499,0.998,13.259,1.03,35.248,0.698,0.95,0.982
7.148,21,38980,2678.1,9135.9,332.15,332.15,847.48,288,698.74,2.959,0.998,15.558,1.035,45.312,0.897,0.95,0.982
8.206,24,50998,3087.6,9321.1,438.03,438.03,944.84,288,740.63,3.57,0.998,18.482,1.041,61.761,1.223,0.95,0.982
9.3,27,72768,3560.4,9784,644.97,644.97,1109.5,288,788.1,4.489,0.998,22.619,1.049,91.811,1.817,0.95,0.982
1.138,3,4053.7,1417.9,6746.5,11.648,11.648,570.47,288,569.65,1.245,0.998,6.73,1.019,0,0.2,0.95,0.983
2.088,6,6563.1,1358.2,6837.8,24.908,24.908,622.74,288,578.64,1.314,0.998,7.139,1.019,19.074,0.28,0.95,0.983
3.144,9,8380.1,1386.8,7132.5,60.363,60.363,599.39,288,586.39,1.388,0.998,7.515,1.02,12.813,0.254,0.95,0.983
4.161,12,14725,1547.5,7808.8,113.8,113.8,654.3,288,612.55,1.656,0.998,8.934,1.022,17.767,0.352,0.95,0.983
5.14,15,21638,1924.3,8502.1,175.32,175.32,723.56,288,644.17,2.076,0.998,11.105,1.026,25.921,0.513,0.95,0.983
6.175,18,29795,2307.3,8836.7,246.26,246.26,791.44,288,674.6,2.499,0.998,13.246,1.03,35.176,0.696,0.95,0.983
7.148,21,38979,2678.1,9136.4,332.05,332.05,846.46,288,698.56,2.958,0.998,15.541,1.035,45.231,0.896,0.95,0.983
8.206,24,50998,3087.6,9321.5,438,438,943.81,288,740.47,3.569,0.998,18.461,1.041,61.664,1.221,0.95,0.983
9.3,27,72768,3560.4,9784.7,645.03,645.03,1108.6,288,787.96,4.488,0.998,22.592,1.049,91.705,1.815,0.95,0.983
1.138,3,5449.9,1407.8,6743.3,11.046,11.046,610.43,288,575.12,1.288,0.998,6.975,1.019,0,0.249,0.95,0.984
2.088,6,6491.7,1356.7,6839.4,24.629,24.629,620.37,288,578.18,1.311,0.998,7.118,1.019,19.526,0.278,0.95,0.984
3.144,9,8380.1,1386.8,7135.1,60.365,60.365,598.57,288,586.24,1.388,0.998,7.508,1.02,12.78,0.253,0.95,0.984
4.161,12,14725,1547.5,7810.8,113.79,113.79,653.41,288,612.39,1.656,0.998,8.925,1.022,17.724,0.351,0.95,0.984
5.14,15,21638,1924.3,8503,175.3,175.3,722.58,288,643.99,2.076,0.998,11.093,1.026,25.865,0.512,0.95,0.984
6.175,18,29796,2307.3,8837.7,246.33,246.33,790.34,288,674.38,2.498,0.998,13.232,1.03,35.103,0.695,0.95,0.984
7.148,21,38979,2678.1,9136.9,332.18,332.18,845.43,288,698.39,2.958,0.998,15.524,1.035,45.15,0.894,0.95,0.984
8.206,24,50998,3087.6,9321.8,438.07,438.07,942.78,288,740.31,3.568,0.998,18.44,1.041,61.568,1.219,0.95,0.984
9.3,27,72770,3560.4,9785.5,644.89,644.89,1107.7,288,787.83,4.487,0.998,22.565,1.049,91.601,1.813,0.95,0.984
1.138,3,6303.7,1397,6739.4,10.4,10.4,634.17,288,578.06,1.312,0.998,7.11,1.019,0,0.278,0.95,0.985
2.088,6,6420.4,1355.8,6841.4,24.465,24.465,617.95,288,577.8,1.309,0.998,7.101,1.019,20.263,0.276,0.95,0.985
3.144,9,8380.3,1386.8,7137.7,60.371,60.371,597.75,288,586.09,1.388,0.998,7.501,1.02,12.746,0.252,0.95,0.985
4.161,12,14725,1547.5,7812.8,113.81,113.81,652.53,288,612.23,1.655,0.998,8.916,1.022,17.682,0.35,0.95,0.985
5.14,15,21638,1924.3,8503.9,175.33,175.33,721.61,288,643.81,2.076,0.998,11.082,1.026,25.809,0.511,0.95,0.985
6.175,18,29796,2307.3,8838.7,246.26,246.26,789.23,288,674.15,2.498,0.998,13.218,1.03,35.031,0.694,0.95,0.985
7.148,21,38978,2678.1,9137.4,332.04,332.04,844.4,288,698.22,2.957,0.998,15.507,1.035,45.07,0.892,0.95,0.985
8.206,24,50998,3087.6,9322.2,437.99,437.99,941.76,288,740.15,3.567,0.998,18.419,1.041,61.472,1.217,0.95,0.985
9.3,27,72771,3560.4,9786.3,644.82,644.82,1106.8,288,787.69,4.485,0.998,22.538,1.049,91.496,1.811,0.95,0.985
1.138,3,7325.7,1375,6728.6,9.099,9.099,666.26,288,580.93,1.334,0.998,7.245,1.019,4.989,0.322,0.95,0.986
2.088,6,6310.3,1354.3,6843.1,24.201,24.201,614.5,288,577.22,1.305,0.998,7.074,1.019,20.679,0.272,0.95,0.986
